"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.271108667E0,7.291038208E0,-5.220693512E0,1.138682098E0
2.281168667E0,7.133266296E0,-5.051096191E0,1.481020203E0
2.291228667E0,7.136110382E0,-4.881798248E0,1.908830566E0
2.301288667E0,7.257058868E0,-4.716092834E0,2.102228394E0
2.311348667E0,7.065606995E0,-4.451892242E0,1.623523865E0
2.321408667E0,6.782994690E0,-3.741020508E0,9.882449341E-1
2.331468667E0,6.162085876E0,-3.157683563E0,5.960604858E-1
2.341528667E0,5.423671417E0,-3.052751770E0,4.041595459E-1
2.351588667E0,4.794829102E0,-3.096610565E0,2.604583740E-1
2.361648667E0,4.396507416E0,-2.967578888E0,1.396595764E-1
2.371708667E0,4.215234375E0,-2.644550629E0,9.131011963E-2
2.381768667E0,4.139042816E0,-2.353855133E0,7.214996338E-2
2.391828667E0,4.189936981E0,-2.155218201E0,-7.933502197E-2
2.401888667E0,4.440066833E0,-2.061962128E0,-2.496807861E-1
2.411948667E0,4.814288635E0,-2.132166138E0,-2.743794250E-1
2.422008667E0,5.350323944E0,-2.299368439E0,-2.276765442E-1
2.432068667E0,6.117328949E0,-2.575244751E0,8.891510010E-2
2.442128667E0,6.966063995E0,-2.766846313E0,3.935316467E-1
2.452188667E0,7.811206512E0,-2.960842896E0,6.954537964E-1
2.462248667E0,8.634045410E0,-3.382665710E0,1.090632019E0
2.472308667E0,9.560319214E0,-3.644920349E0,1.676813049E0
2.482368667E0,1.033046768E1,-3.750750275E0,2.377356262E0
2.492428667E0,1.096050751E1,-4.043691101E0,2.679428101E0
2.502488667E0,1.111184280E1,-4.427642670E0,2.690804443E0
2.512548667E0,1.108040817E1,-4.726121979E0,2.484234009E0
2.522608667E0,1.101499420E1,-5.227878571E0,2.306254120E0
2.532668667E0,1.109163483E1,-5.984854431E0,2.011367340E0
2.542728667E0,1.124820923E1,-6.689439240E0,1.853445740E0
2.552788667E0,1.149564468E1,-7.222331085E0,1.616189117E0
2.562848667E0,1.190324707E1,-7.490872650E0,1.321452026E0
2.572908667E0,1.213915649E1,-7.516768799E0,1.099763031E0
2.582968667E0,1.282293457E1,-7.025640106E0,1.096170502E0
2.593028667E0,1.337274124E1,-6.237379303E0,1.603764954E0
