"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.636064417E0,1.413602941E-2,-1.423573792E-1,4.638365805E-1
2.646125417E0,2.523390055E-1,9.477694519E-3,4.068617225E-1
2.656186417E0,4.102362096E-1,1.492580026E-1,3.341904283E-1
2.666247417E0,4.949255288E-1,2.592859566E-1,2.679927647E-1
2.676308417E0,5.534844398E-1,3.462587595E-1,2.626517415E-1
2.686368417E0,5.992476940E-1,3.966449797E-1,3.344337940E-1
2.696429417E0,5.982085466E-1,3.709969223E-1,4.585255980E-1
2.706490417E0,5.288041234E-1,2.908333838E-1,6.035373807E-1
2.716551417E0,4.200819135E-1,1.442220509E-1,7.326007485E-1
2.726612417E0,2.871052325E-1,-1.958074048E-2,8.392310739E-1
2.736673417E0,1.589345038E-1,-1.492912322E-1,9.158810973E-1
2.746734417E0,6.135654449E-2,-2.270400971E-1,9.622243643E-1
2.756795417E0,7.964154705E-3,-2.571874559E-1,9.881259203E-1
2.766856417E0,-1.088223793E-2,-2.505191863E-1,1.002331972E0
2.776916417E0,-1.677608117E-2,-2.263503224E-1,1.002926707E0
2.786977417E0,-1.812310703E-2,-1.884767115E-1,9.936991334E-1
2.797038417E0,-2.109732479E-2,-1.509339660E-1,9.775193334E-1
2.807099417E0,-2.905138768E-2,-1.461109817E-1,9.473909736E-1
2.817160417E0,-5.593786761E-2,-1.826813519E-1,9.038113356E-1
2.827221417E0,-1.076093167E-1,-2.546285093E-1,8.492799401E-1
2.837282417E0,-1.595974118E-1,-3.667023182E-1,7.822785378E-1
2.847343417E0,-1.944280863E-1,-4.701959491E-1,7.137548923E-1
2.857404417E0,-1.922174096E-1,-5.218657255E-1,6.330091953E-1
2.867465417E0,-1.697967798E-1,-5.027146935E-1,5.355870724E-1
2.877525417E0,-1.523123384E-1,-4.357404411E-1,4.380744994E-1
2.887586417E0,-1.422722191E-1,-3.630193472E-1,3.348682225E-1
2.897647417E0,-1.425462514E-1,-2.744555771E-1,2.375315726E-1
2.907708417E0,-1.482994854E-1,-1.644262671E-1,1.607012451E-1
2.917769417E0,-1.663645059E-1,-5.490118638E-2,1.040906757E-1
2.927830417E0,-2.112760544E-1,1.026956085E-2,6.915719807E-2
2.937891417E0,-2.815672755E-1,1.301905140E-2,3.978982940E-2
2.947952417E0,-3.700782359E-1,-2.130083926E-2,1.420334913E-3
2.958013417E0,-4.620521069E-1,-9.483744204E-2,-5.301966146E-2
2.968074417E0,-5.417250991E-1,-2.082960904E-1,-1.096227542E-1
2.978134417E0,-5.827848911E-1,-3.217582703E-1,-1.509557515E-1
2.988195417E0,-5.955914855E-1,-3.851849139E-1,-1.645290852E-1
2.998256417E0,-5.926489830E-1,-3.974520862E-1,-1.719478965E-1
3.008317417E0,-6.034225225E-1,-3.813578188E-1,-1.856929958E-1
3.018378417E0,-6.132682562E-1,-3.625875711E-1,-2.203264236E-1
3.028439417E0,-6.066393852E-1,-3.473084867E-1,-2.703627050E-1
3.038500417E0,-5.821925998E-1,-3.401910961E-1,-3.179173172E-1
3.048561417E0,-5.539308786E-1,-3.346107006E-1,-3.412474096E-1
3.058622417E0,-5.306887031E-1,-3.526920974E-1,-3.458939493E-1
3.068682417E0,-5.294894576E-1,-4.054945707E-1,-3.503805995E-1
3.078743417E0,-5.330692530E-1,-4.555248916E-1,-3.532363474E-1
3.088804417E0,-5.423437357E-1,-4.501293302E-1,-3.455110490E-1
3.098865417E0,-5.495222807E-1,-4.009543955E-1,-3.104090691E-1
3.108926417E0,-5.452324748E-1,-3.372723460E-1,-2.524496317E-1
3.118987417E0,-5.556198359E-1,-2.778752744E-1,-1.989604831E-1
3.129048417E0,-5.647619367E-1,-2.134733945E-1,-1.528928578E-1
3.139109417E0,-5.681883693E-1,-1.848603934E-1,-1.291836947E-1
3.149170417E0,-5.730481148E-1,-2.004758418E-1,-1.244491413E-1
3.159231417E0,-5.856688619E-1,-2.405571342E-1,-1.471081823E-1
3.169291417E0,-5.856214166E-1,-2.857699096E-1,-1.651742756E-1
3.179352417E0,-5.698168874E-1,-3.315880299E-1,-1.812416613E-1
3.189413417E0,-5.556781888E-1,-3.550153375E-1,-2.104309797E-1
3.199474417E0,-5.563580990E-1,-3.291388154E-1,-2.457277328E-1
3.209535417E0,-5.696664453E-1,-2.476862967E-1,-2.957690954E-1
3.219596417E0,-5.815814137E-1,-1.457226872E-1,-3.693632483E-1
3.229657417E0,-5.929512382E-1,-7.417953759E-2,-4.436111152E-1
3.239718417E0,-6.055679917E-1,-8.363403380E-3,-5.035606027E-1
3.249779417E0,-6.124533415E-1,8.630638570E-2,-5.521169305E-1
3.259839417E0,-6.195743680E-1,1.718191355E-1,-6.015669107E-1
3.269900417E0,-6.025900245E-1,1.946306974E-1,-6.417564154E-1
3.279961417E0,-5.707154274E-1,1.455246657E-1,-6.630979776E-1
3.290022417E0,-5.432657003E-1,8.570155501E-2,-6.381508112E-1
3.300083417E0,-5.422353745E-1,5.728159100E-2,-5.751742125E-1
3.310144417E0,-5.963579416E-1,7.472076267E-2,-4.951512814E-1
3.320205417E0,-6.863677502E-1,1.145837307E-1,-4.307479560E-1
3.330266417E0,-7.729268670E-1,1.778899878E-1,-3.994757831E-1
3.340327417E0,-8.455533981E-1,2.246126086E-1,-3.982697725E-1
3.350387417E0,-8.957689404E-1,2.310023308E-1,-4.469209313E-1
3.360448417E0,-8.970538974E-1,2.135231942E-1,-5.129213929E-1
3.370509417E0,-8.709655404E-1,1.979221255E-1,-5.682848096E-1
3.380570417E0,-8.498837352E-1,1.760533601E-1,-5.816689730E-1
3.390631417E0,-8.528278470E-1,9.934580326E-2,-5.611354709E-1
3.400692417E0,-8.735898137E-1,-1.436200272E-2,-5.323408246E-1
3.410753417E0,-8.927174807E-1,-1.152539924E-1,-5.142214894E-1
3.420814417E0,-8.994523287E-1,-1.974878460E-1,-5.108276010E-1
3.430875417E0,-8.816967607E-1,-2.489023060E-1,-5.111466646E-1
3.440935417E0,-8.248718381E-1,-2.506454885E-1,-5.130931139E-1
3.450996417E0,-7.355464697E-1,-2.155013531E-1,-5.245162249E-1
3.461057417E0,-6.214452386E-1,-1.549911797E-1,-5.495043397E-1
3.471118417E0,-5.351744890E-1,-7.622312754E-2,-5.648249984E-1
3.481179417E0,-4.820987582E-1,4.754973343E-4,-5.678566694E-1
3.491240292E0,-4.719643891E-1,3.488114104E-2,-5.504359007E-1
3.501301292E0,-4.764797688E-1,3.709768876E-2,-5.033512115E-1
3.511362292E0,-4.945522547E-1,2.938783914E-2,-4.282063842E-1
3.521423292E0,-5.149246454E-1,2.266381122E-2,-3.385108113E-1
3.531483292E0,-5.327430367E-1,2.548542991E-2,-2.199961543E-1
3.541544292E0,-5.468002558E-1,1.860002056E-2,-8.275832981E-2
3.551605292E0,-5.743448138E-1,1.781625673E-3,5.069746450E-2
3.561666292E0,-6.089949608E-1,-4.038610682E-2,1.708517373E-1
3.571727292E0,-6.398250461E-1,-7.906958461E-2,2.858776450E-1
3.581788292E0,-6.525317430E-1,-1.073927209E-1,3.840284050E-1
3.591849292E0,-6.564806700E-1,-9.207528830E-2,4.554607868E-1
3.601910292E0,-6.734501123E-1,-5.484433100E-2,4.909302294E-1
3.611970292E0,-7.004441619E-1,-6.562986225E-2,4.971170425E-1
3.622031292E0,-7.090533376E-1,-1.031547934E-1,5.114217997E-1
3.632092292E0,-7.031858563E-1,-1.853495240E-1,5.794565082E-1
3.642153292E0,-7.180500627E-1,-2.864435315E-1,6.654598713E-1
3.652214292E0,-7.509754896E-1,-3.823953569E-1,7.187766433E-1
3.662275292E0,-8.180410862E-1,-4.575107396E-1,7.288562655E-1
3.672336292E0,-8.868278861E-1,-4.858550429E-1,7.175223827E-1
3.682397292E0,-9.448517561E-1,-4.603126347E-1,7.049252391E-1
3.692458292E0,-9.836782813E-1,-3.859904706E-1,6.929039955E-1
3.702518292E0,-9.997935891E-1,-2.947406471E-1,6.767492890E-1
3.712579292E0,-9.912840128E-1,-2.000162899E-1,6.622220278E-1
3.722640292E0,-9.683067799E-1,-1.637006998E-1,6.628105044E-1
3.732701292E0,-9.361765385E-1,-2.249392867E-1,6.571419835E-1
3.742762292E0,-9.095513225E-1,-2.916517556E-1,6.281695962E-1
3.752823292E0,-8.970575929E-1,-3.465786278E-1,5.721319318E-1
3.762884292E0,-8.815271258E-1,-3.947092295E-1,5.022442341E-1
3.772945292E0,-8.550473452E-1,-4.104703367E-1,4.196873009E-1
3.783005292E0,-8.081173301E-1,-3.897498250E-1,3.374004662E-1
3.793066292E0,-7.484409809E-1,-3.626061082E-1,2.737037838E-1
3.803127292E0,-7.069337368E-1,-3.281788528E-1,2.415938675E-1
