"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.447618042E0,-8.742719421E0,-1.719474335E0,1.229543152E0
1.457679042E0,-9.012009430E0,-1.753004608E0,1.639540558E0
1.467740042E0,-9.365424500E0,-1.943258972E0,2.206860809E0
1.477801042E0,-9.507030029E0,-2.036365356E0,2.568508759E0
1.487861917E0,-9.406588898E0,-2.020348663E0,2.778522034E0
1.497922917E0,-9.191486206E0,-2.006427612E0,2.780917053E0
1.507983917E0,-8.951684875E0,-2.142644348E0,2.752625885E0
1.518044917E0,-9.089697876E0,-2.362686768E0,2.830314331E0
1.528105917E0,-9.429491272E0,-2.645448761E0,2.962639160E0
1.538166917E0,-9.430239716E0,-2.849773865E0,2.897075500E0
1.548226917E0,-9.288035431E0,-3.064128113E0,3.061733093E0
1.558287917E0,-9.091793518E0,-3.277135162E0,3.598516846E0
1.568348917E0,-8.857081604E0,-3.472778320E0,4.170627136E0
1.578409917E0,-8.745862885E0,-3.692072296E0,4.601131897E0
1.588470917E0,-9.017398224E0,-3.955374756E0,4.640050964E0
1.598531917E0,-9.505383453E0,-4.201013947E0,4.387376404E0
1.608592917E0,-1.013437546E1,-4.450395355E0,4.126918030E0
1.618653917E0,-1.057610687E1,-4.502487030E0,3.802243195E0
1.628714917E0,-1.078402451E1,-4.551285553E0,3.418591003E0
1.638775917E0,-1.094643677E1,-4.752167816E0,2.947370911E0
1.648835917E0,-1.086979614E1,-4.762646027E0,2.735711060E0
1.658896917E0,-1.073342972E1,-4.709057465E0,2.804268494E0
1.668957917E0,-1.074675201E1,-4.805307312E0,2.920876007E0
1.679018917E0,-1.090497299E1,-5.097948761E0,2.805016937E0
1.689079917E0,-1.105945175E1,-5.241799622E0,2.799179077E0
1.699140917E0,-1.122425903E1,-5.293292542E0,2.893482971E0
1.709201917E0,-1.127979355E1,-5.447771301E0,3.029550018E0
1.719262917E0,-1.125030487E1,-5.419779510E0,3.235222321E0
1.729323917E0,-1.118174744E1,-5.253625031E0,3.321443024E0
1.739383917E0,-1.089284821E1,-5.075645142E0,3.184178467E0
1.749444917E0,-1.050141220E1,-4.905299377E0,3.043022003E0
1.759505917E0,-1.018871246E1,-4.745880890E0,2.908152466E0
1.769566917E0,-9.971514130E0,-4.590953064E0,2.706222382E0
1.779627917E0,-9.816436615E0,-4.515360260E0,2.487527161E0
1.789688917E0,-9.536967773E0,-4.454736328E0,2.574346619E0
1.799749917E0,-9.108259277E0,-4.244723053E0,2.899470520E0
1.809810917E0,-8.710236969E0,-3.905528412E0,3.332070923E0
1.819871917E0,-8.392148438E0,-3.668720856E0,3.637286224E0
1.829932917E0,-8.134085083E0,-3.457510071E0,4.008663940E0
1.839992917E0,-7.877668304E0,-3.258274384E0,4.018693085E0
1.850053917E0,-7.534282379E0,-3.080893250E0,3.728596344E0
1.860114917E0,-7.327711945E0,-2.923121338E0,3.532653809E0
1.870175917E0,-7.199578400E0,-2.905907135E0,3.181334381E0
1.880236917E0,-7.079528046E0,-2.964585114E0,2.896327057E0
1.890297917E0,-7.066505127E0,-2.942281494E0,2.634521484E0
1.900358917E0,-7.055428162E0,-3.000809784E0,2.314337311E0
1.910419917E0,-6.855144653E0,-2.843636627E0,2.484383698E0
1.920480917E0,-6.895710297E0,-2.855761414E0,2.564766541E0
1.930541917E0,-7.479196930E0,-3.098556519E0,2.333497467E0
1.940601917E0,-7.782017212E0,-3.523073730E0,1.060694275E0
1.950662917E0,-8.366551666E0,-3.065026245E0,1.350641327E0
1.960723917E0,-9.166937256E0,-2.885998535E0,2.059267731E0
1.970784917E0,-9.160051575E0,-3.129691772E0,2.339934082E0
1.980845917E0,-8.756640472E0,-3.260968781E0,2.185754700E0
1.990906917E0,-8.715027008E0,-3.266058197E0,2.161505127E0
2.000967917E0,-8.781937866E0,-3.185525665E0,2.339634705E0
2.011028917E0,-8.603508911E0,-3.199895782E0,2.597698059E0
2.021089917E0,-8.266260223E0,-3.220253448E0,2.812501373E0
2.031150917E0,-7.946525116E0,-3.192111969E0,3.038381653E0
2.041210917E0,-7.801626434E0,-3.116668854E0,3.289559326E0
2.051271917E0,-7.882158966E0,-3.079695740E0,3.048859863E0
2.061332917E0,-7.873477020E0,-3.096460876E0,3.402125244E0
2.071393917E0,-7.638914795E0,-2.930007019E0,3.801644440E0
2.081454917E0,-7.598199463E0,-2.892734528E0,3.417992249E0
2.091515917E0,-7.504793701E0,-2.901566162E0,3.091670837E0
2.101576917E0,-7.284751282E0,-2.780767365E0,2.952759705E0
2.111637917E0,-7.186705170E0,-2.769091644E0,2.933300171E0
2.121698917E0,-7.162305908E0,-2.771935730E0,2.985092468E0
2.131759917E0,-7.181765442E0,-2.827470245E0,2.952160950E0
2.141819917E0,-7.226971436E0,-2.839445343E0,2.826721802E0
2.151880917E0,-7.353009338E0,-2.898871765E0,2.780617676E0
2.161941917E0,-7.429949341E0,-2.945275269E0,2.633623352E0
2.172002917E0,-7.520361328E0,-2.965932312E0,2.491419067E0
2.182063917E0,-7.666307831E0,-2.983445892E0,2.415526886E0
2.192124917E0,-7.649842072E0,-2.950065308E0,2.457140350E0
2.202185917E0,-7.561525726E0,-2.906206512E0,2.472707977E0
2.212246917E0,-7.534432068E0,-2.972368927E0,2.340832214E0
2.222307917E0,-7.549999695E0,-3.118764496E0,2.273322601E0
2.232368917E0,-7.628286896E0,-3.216062164E0,2.418221283E0
2.242428917E0,-7.967481537E0,-3.420087891E0,2.613714752E0
2.252489917E0,-8.267906799E0,-3.693419495E0,2.772384796E0
2.262550917E0,-8.447982330E0,-3.966601410E0,2.842439117E0
2.272611917E0,-8.441994781E0,-4.277804260E0,2.954406281E0
2.282672917E0,-8.524922333E0,-4.637506256E0,3.353626099E0
2.292733917E0,-8.881031799E0,-5.011428680E0,3.782783661E0
2.302794917E0,-9.134604492E0,-5.267845459E0,4.047283630E0
2.312855917E0,-9.376800842E0,-5.418132935E0,4.240980835E0
2.322916917E0,-9.729617157E0,-5.595514069E0,4.424648895E0
2.332977917E0,-1.027253815E1,-5.824687500E0,4.491260376E0
2.343037917E0,-1.082952988E1,-5.873935089E0,4.608915710E0
2.353098917E0,-1.138562347E1,-5.760321350E0,4.678520966E0
2.363159917E0,-1.192330536E1,-5.572761383E0,4.712051239E0
2.373220917E0,-1.214783844E1,-5.184917908E0,4.662055206E0
2.383281917E0,-1.199575470E1,-4.668641510E0,4.457281036E0
2.393342917E0,-1.183528839E1,-4.265829163E0,4.281247101E0
2.403403917E0,-1.205323517E1,-3.954027557E0,4.401746521E0
2.413464917E0,-1.197659454E1,-3.353177032E0,4.554878082E0
2.423525917E0,-1.162482605E1,-2.938239899E0,4.152664490E0
2.433586917E0,-1.139999359E1,-2.852318573E0,3.655847626E0
2.443646917E0,-1.123473724E1,-2.709964600E0,3.387156372E0
2.453707917E0,-1.089359665E1,-2.387235718E0,3.182681580E0
2.463768917E0,-1.054332504E1,-1.988914032E0,3.087030487E0
2.473829917E0,-1.060394897E1,-1.649719391E0,2.867437134E0
2.483890917E0,-1.091051147E1,-1.384321289E0,2.203717346E0
2.493952417E0,-1.089389603E1,-1.108894043E0,1.357377319E0
2.504013417E0,-1.066262695E1,-9.443861389E-1,4.577481079E-1
2.514074417E0,-1.047222290E1,-9.961784363E-1,-9.131011963E-2
2.524135417E0,-1.025038422E1,-1.282233582E0,-2.438429260E-1
2.534195417E0,-9.938582611E0,-1.594484253E0,4.490661621E-4
2.544256417E0,-9.760453033E0,-1.768272858E0,4.616400146E-1
2.554317417E0,-9.675729218E0,-1.933828583E0,1.012644196E0
2.564378417E0,-9.612859955E0,-1.987716522E0,1.441352692E0
2.574439417E0,-9.593550110E0,-2.104473724E0,1.752106476E0
2.584500417E0,-9.425749054E0,-2.139949951E0,2.014061737E0
2.594561417E0,-9.230704651E0,-2.081122284E0,2.284698944E0
2.604622417E0,-9.228459320E0,-2.105820923E0,2.494861908E0
2.614683417E0,-9.106013947E0,-2.111060028E0,2.636317749E0
2.624744417E0,-9.048683167E0,-2.094294891E0,2.873125305E0
2.634804417E0,-9.268725586E0,-2.094145203E0,3.154989166E0
2.644865417E0,-9.391021271E0,-1.971250763E0,3.218008118E0
2.654926417E0,-9.250014496E0,-1.775757294E0,2.871329041E0
2.664987417E0,-9.182804260E0,-1.591191101E0,2.318827972E0
2.675048417E0,-9.359736328E0,-1.450483704E0,2.011816406E0
2.685109417E0,-9.959688721E0,-1.437311096E0,1.904190216E0
2.695170417E0,-1.061158310E1,-1.313668213E0,1.809137878E0
2.705231417E0,-1.099418747E1,-1.260379028E0,1.428479462E0
2.715292417E0,-1.116228790E1,-1.222208405E0,1.091829529E0
2.725353417E0,-1.107457031E1,-1.169967041E0,8.000862122E-1
2.735413417E0,-1.079091019E1,-1.193019104E0,7.203021240E-1
2.745474417E0,-1.036115387E1,-1.255738678E0,8.424481201E-1
2.755535417E0,-9.848470001E0,-1.265767822E0,1.057999878E0
2.765596417E0,-9.315278778E0,-1.237177277E0,1.312620392E0
2.775657417E0,-8.847052460E0,-1.249900818E0,1.441053314E0
2.785718417E0,-8.458310852E0,-1.314865723E0,1.513652344E0
2.795779417E0,-8.314609680E0,-1.418749695E0,1.538500671E0
2.805840417E0,-8.363258514E0,-1.574725342E0,1.443598022E0
2.815901417E0,-8.221054230E0,-1.626218262E0,1.285377045E0
2.825962417E0,-8.018675079E0,-1.666035461E0,1.106948090E0
2.836022417E0,-7.898175659E0,-1.825154572E0,9.204359436E-1
2.846083417E0,-7.544760590E0,-1.835034027E0,9.047186279E-1
2.856144417E0,-6.979386292E0,-1.586401062E0,1.051712952E0
2.866205417E0,-6.432274017E0,-1.348395996E0,1.309476929E0
2.876266417E0,-6.166426849E0,-1.265767822E0,1.359922028E0
2.886327417E0,-6.112389221E0,-1.280137939E0,1.235680389E0
2.896388417E0,-6.142925720E0,-1.291214905E0,1.106948090E0
2.906449417E0,-6.306984558E0,-1.374741211E0,1.098715210E0
2.916510417E0,-6.578370209E0,-1.503772888E0,1.136586456E0
2.926571417E0,-6.863078156E0,-1.595532074E0,1.104253693E0
2.936631417E0,-7.259603577E0,-1.711391144E0,1.049766998E0
2.946692417E0,-7.519762573E0,-1.767374725E0,9.898915100E-1
2.956753417E0,-7.779472504E0,-1.763482819E0,1.071920929E0
2.966814417E0,-8.150850220E0,-1.832489319E0,1.185085602E0
2.976875417E0,-8.513695679E0,-1.941612396E0,1.394949188E0
2.986936417E0,-8.645870819E0,-1.878593445E0,1.743274841E0
2.996997417E0,-8.634793854E0,-1.801204376E0,2.023941193E0
3.007058417E0,-8.513096924E0,-1.796713715E0,2.123633881E0
3.017119417E0,-8.284971313E0,-1.773062897E0,2.090402985E0
3.027179417E0,-7.986941071E0,-1.647623749E0,2.096689911E0
3.037240417E0,-7.806566162E0,-1.442699890E0,2.208208008E0
3.047301417E0,-7.839048615E0,-1.269809418E0,2.269281006E0
3.057362417E0,-7.988288269E0,-1.184935913E0,2.209106140E0
3.067423417E0,-8.151898041E0,-1.167422333E0,2.093845825E0
3.077484417E0,-8.197553101E0,-1.143921204E0,1.968556366E0
3.087545417E0,-8.258177032E0,-1.195863190E0,2.035766602E0
3.097606417E0,-8.352181549E0,-1.322499847E0,2.253114624E0
3.107667417E0,-8.532706146E0,-1.488055573E0,2.427052917E0
3.117728417E0,-8.599018250E0,-1.657952271E0,2.486778717E0
3.127788417E0,-8.587192841E0,-1.807940369E0,2.556982727E0
3.137849417E0,-8.679101715E0,-1.988315277E0,2.710862732E0
3.147910417E0,-8.775501251E0,-2.239942017E0,2.819087677E0
3.157971417E0,-8.695268097E0,-2.521506500E0,2.836002502E0
3.168032417E0,-8.518785095E0,-2.709665222E0,3.015179901E0
3.178093417E0,-8.404422913E0,-2.729873199E0,3.223247223E0
3.188154417E0,-8.412356415E0,-2.810555420E0,3.242257690E0
3.198215417E0,-8.464448090E0,-2.964136047E0,3.204386444E0
3.208276417E0,-8.575068054E0,-3.103496246E0,3.165766754E0
3.218336417E0,-8.814869385E0,-3.220103760E0,3.188818817E0
3.228397417E0,-9.250164185E0,-3.392096100E0,3.126697998E0
3.238458417E0,-9.834848328E0,-3.606450348E0,3.057990875E0
3.248519417E0,-1.033840118E1,-3.789369965E0,3.149001617E0
3.258580417E0,-1.094014984E1,-3.978277130E0,3.241658936E0
3.268641417E0,-1.152318741E1,-4.155059509E0,3.276985474E0
3.278702417E0,-1.183888092E1,-4.159250793E0,3.347039795E0
3.288763417E0,-1.193662766E1,-3.935166779E0,3.422033844E0
3.298824417E0,-1.203197937E1,-3.759581909E0,3.539389801E0
3.308884417E0,-1.214694031E1,-3.756887512E0,3.490441589E0
3.318945417E0,-1.230905319E1,-3.966451721E0,3.325334930E0
3.329006417E0,-1.253029312E1,-4.328698425E0,3.193459167E0
3.339067417E0,-1.285856049E1,-4.766238556E0,3.268752594E0
3.349128417E0,-1.306617874E1,-5.094206543E0,3.226390686E0
3.359189417E0,-1.291783722E1,-5.070555725E0,3.343147888E0
3.369250417E0,-1.260977783E1,-4.825515289E0,3.577410736E0
3.379311417E0,-1.218705688E1,-4.480183411E0,3.755091248E0
3.389372417E0,-1.172287216E1,-4.059258728E0,3.719315643E0
3.399432417E0,-1.108938950E1,-3.636088715E0,3.464096375E0
3.409493417E0,-1.028780640E1,-3.161874847E0,3.370540924E0
3.419554417E0,-9.601034546E0,-2.764451294E0,3.384911041E0
3.429615417E0,-9.097332001E0,-2.565365295E0,3.341052246E0
3.439676417E0,-8.922196198E0,-2.500101013E0,3.343746643E0
3.449737417E0,-8.831634521E0,-2.474953308E0,3.397185516E0
3.459798417E0,-8.790320435E0,-2.388133850E0,3.377127228E0
3.469859417E0,-8.891060944E0,-2.363285522E0,3.209924927E0
3.479920417E0,-9.063202972E0,-2.335144043E0,2.947819977E0
3.489980292E0,-9.235644379E0,-2.243983612E0,2.573747864E0
3.500041292E0,-9.178612976E0,-2.134411469E0,2.325713654E0
3.510102292E0,-9.056317291E0,-1.950593719E0,2.259551239E0
3.520163292E0,-8.928782501E0,-1.745220795E0,2.307751007E0
3.530224292E0,-8.838669891E0,-1.624122620E0,2.477048950E0
3.540285292E0,-8.849148102E0,-1.639839935E0,2.604434052E0
3.550346292E0,-8.798852692E0,-1.715732117E0,2.631976776E0
3.560407292E0,-8.717122650E0,-1.923050995E0,2.572999420E0
3.570467292E0,-8.639733582E0,-2.214345245E0,2.522554321E0
3.580528292E0,-8.632099457E0,-2.514620819E0,2.548450470E0
3.590589292E0,-8.547076263E0,-2.686613159E0,2.616259460E0
3.600650292E0,-8.499026184E0,-2.911445618E0,2.654280396E0
3.610711292E0,-8.475375366E0,-3.166515198E0,2.630479889E0
3.620772292E0,-8.331973572E0,-3.296445007E0,2.678829346E0
3.630833292E0,-8.296647034E0,-3.338806915E0,2.902164917E0
3.640894292E0,-8.346044312E0,-3.457360382E0,2.876418457E0
3.650955292E0,-8.157286835E0,-3.550317078E0,2.710862732E0
3.661015292E0,-7.859555969E0,-3.605701904E0,2.484383698E0
3.671076292E0,-7.625143433E0,-3.768114166E0,2.318827972E0
3.681137292E0,-7.511679382E0,-3.869752808E0,2.277214508E0
3.691198292E0,-7.436236267E0,-3.853885803E0,2.324366455E0
3.701259292E0,-7.442972260E0,-3.879931641E0,2.427651672E0
3.711320292E0,-7.541317749E0,-3.951632538E0,2.557282104E0
3.721381292E0,-7.868986359E0,-4.099225616E0,2.724334717E0
3.731442292E0,-8.098908234E0,-4.194277954E0,2.765948181E0
3.741503292E0,-8.049361267E0,-4.159550171E0,2.705174561E0
3.751563292E0,-7.913294220E0,-4.170327759E0,2.714006195E0
3.761624292E0,-7.737709351E0,-4.168980560E0,2.633922729E0
3.771685292E0,-7.511978760E0,-4.028273163E0,2.558928680E0
3.781746292E0,-7.214098206E0,-3.810925140E0,2.628983002E0
3.791807292E0,-7.095993805E0,-3.564088440E0,2.734812927E0
3.801868292E0,-7.199279022E0,-3.455863495E0,2.627336426E0
3.811929292E0,-7.479196930E0,-3.467688904E0,2.516566772E0
3.821990292E0,-7.717800751E0,-3.417243805E0,2.362537079E0
3.832050292E0,-7.906707916E0,-3.423680420E0,2.126028900E0
3.842111292E0,-8.114924927E0,-3.570375366E0,1.885928192E0
3.852172292E0,-8.204887848E0,-3.680396576E0,1.809736633E0
3.862233292E0,-8.210426331E0,-3.698209534E0,2.036964111E0
3.872294292E0,-8.191116486E0,-3.641477509E0,2.276166687E0
3.882355292E0,-8.140671387E0,-3.542832642E0,2.496508484E0
3.892416292E0,-8.049960022E0,-3.445534973E0,2.663860474E0
3.902477292E0,-8.074958038E0,-3.373834076E0,2.735411682E0
3.912538292E0,-8.238567810E0,-3.381019135E0,2.688559113E0
3.922598292E0,-8.407865753E0,-3.463198242E0,2.703827362E0
3.932659292E0,-8.749156036E0,-3.712429962E0,2.698737946E0
3.942720292E0,-9.294472046E0,-4.022734680E0,2.780467987E0
3.952781292E0,-9.612410889E0,-4.113595734E0,3.063229980E0
3.962842292E0,-9.643246765E0,-3.986809387E0,3.369493103E0
3.972903292E0,-9.820029144E0,-3.988156586E0,3.406166840E0
3.982964292E0,-1.005608826E1,-4.103416901E0,3.276686096E0
3.993025292E0,-1.030052994E1,-4.157454529E0,3.298390961E0
4.003085292E0,-1.045934967E1,-4.107159119E0,3.361110535E0
4.013146292E0,-1.060694275E1,-4.021387482E0,3.375031586E0
4.023207292E0,-1.091604996E1,-3.830534363E0,3.309467926E0
4.033268292E0,-1.123758133E1,-3.575614471E0,3.227438507E0
4.043329292E0,-1.131422195E1,-3.206931152E0,3.124003601E0
4.053390292E0,-1.133472931E1,-2.946772156E0,3.104843445E0
