"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.467162625E0,1.322100520E0,-1.548543215E0,-9.248793721E-1
3.477223625E0,9.317429066E-1,-1.230598330E0,-9.981254339E-1
3.487284625E0,4.452576339E-1,-8.714662194E-1,-1.062669873E0
3.497346625E0,-4.252504930E-2,-4.730876386E-1,-1.126792431E0
3.507407625E0,-4.514113367E-1,-7.692514360E-2,-1.190143704E0
3.517469625E0,-6.916844249E-1,2.398067862E-1,-1.259564400E0
3.527530625E0,-7.717126608E-1,4.208186567E-1,-1.322169185E0
3.537591625E0,-7.082334757E-1,5.206633210E-1,-1.370919466E0
3.547653625E0,-5.470169187E-1,5.450203419E-1,-1.410947084E0
3.557714625E0,-3.837356269E-1,4.864024520E-1,-1.428717136E0
3.567776625E0,-2.419209778E-1,3.720327318E-1,-1.424799562E0
3.577837625E0,-1.170786172E-1,2.109139264E-1,-1.406514049E0
3.587898625E0,-3.071443737E-2,4.706427827E-2,-1.366325259E0
3.597960625E0,2.400121652E-2,-9.828031808E-2,-1.301297665E0
3.608021500E0,7.989617437E-2,-2.257242948E-1,-1.235072017E0
3.618083500E0,1.473218650E-1,-3.376230896E-1,-1.193057299E0
3.628144500E0,1.949562281E-1,-4.169970155E-1,-1.173136592E0
3.638205500E0,2.053635120E-1,-4.407099783E-1,-1.165808439E0
3.648267500E0,1.866643876E-1,-4.101864100E-1,-1.146243334E0
3.658328500E0,1.387778819E-1,-3.542141318E-1,-1.102311373E0
3.668390500E0,7.540131360E-2,-2.904852331E-1,-1.036189079E0
3.678451500E0,1.571701141E-4,-1.934326887E-1,-9.474637508E-1
3.688512500E0,-7.034948468E-2,-1.075327024E-1,-8.551071882E-1
3.698574500E0,-1.090380251E-1,-6.059901416E-2,-7.509117723E-1
3.708635500E0,-1.001694351E-1,-4.624324292E-2,-6.230273247E-1
3.718696500E0,-5.017073452E-2,-5.794922635E-2,-4.882825911E-1
3.728758500E0,1.322182082E-2,-1.170580909E-1,-3.633356094E-1
3.738819500E0,6.569304317E-2,-2.262623906E-1,-2.525061369E-1
3.748881500E0,9.139467776E-2,-3.436103165E-1,-1.249838546E-1
3.758942500E0,1.049496233E-1,-4.308676422E-1,5.193058401E-2
3.769003500E0,1.161575317E-1,-4.804306626E-1,2.757391632E-1
3.779065500E0,1.199128777E-1,-5.076740980E-1,5.033064485E-1
3.789126500E0,1.377041340E-1,-5.230396986E-1,7.169284225E-1
3.799188500E0,1.516206861E-1,-5.768957734E-1,9.172488451E-1
3.809249500E0,7.393654436E-2,-6.116569638E-1,1.070259929E0
3.819310500E0,-1.274415702E-1,-5.674859881E-1,1.165650368E0
3.829372500E0,-3.947502375E-1,-4.215442240E-1,1.205967784E0
3.839433500E0,-6.869668961E-1,-2.054602951E-1,1.214624882E0
3.849495500E0,-9.591965675E-1,5.652337894E-2,1.221223950E0
3.859556500E0,-1.168110847E0,3.538849950E-1,1.268968701E0
3.869617500E0,-1.266110897E0,6.303360462E-1,1.363775611E0
3.879679500E0,-1.247795224E0,8.495746851E-1,1.471946120E0
3.889740500E0,-1.138951182E0,9.831221104E-1,1.567034364E0
3.899802500E0,-9.931138158E-1,1.034877419E0,1.618916988E0
