"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.751695792E0,1.145448029E1,-4.342320099E0,8.551716614E-1
1.761757792E0,1.126048370E1,-4.011358337E0,8.306227112E-1
1.771818792E0,1.098355957E1,-3.651356964E0,9.767189026E-1
1.781879792E0,1.053464310E1,-3.373385010E0,1.333576813E0
1.791941792E0,9.915530548E0,-3.060685272E0,1.616937561E0
1.802002792E0,9.312135315E0,-2.777623901E0,1.782044220E0
1.812064792E0,8.697812805E0,-2.521805878E0,1.666334839E0
1.822125792E0,8.123008118E0,-2.360142059E0,1.470242615E0
1.832186792E0,7.726033630E0,-2.186203766E0,1.360820160E0
1.842248792E0,7.347021790E0,-1.939516754E0,1.280287628E0
1.852309792E0,6.854994965E0,-1.793121185E0,1.180445251E0
1.862371792E0,6.450985107E0,-1.809437256E0,9.891430664E-1
1.872432792E0,6.108647003E0,-1.779948578E0,6.712042236E-1
1.882493792E0,6.036047974E0,-1.767973480E0,3.025209045E-1
1.892555792E0,6.348598022E0,-1.787283325E0,2.359094238E-1
1.902616792E0,6.767726440E0,-1.750310211E0,1.032852173E-2
1.912677792E0,7.142546997E0,-1.700014801E0,-2.441423035E-1
1.922739792E0,7.436086578E0,-1.704505463E0,-4.691244507E-1
1.932800792E0,7.700736237E0,-1.877096558E0,-6.095324707E-1
1.942862792E0,7.961793365E0,-2.367027740E0,-5.463638306E-1
1.952923792E0,8.001011810E0,-2.943479004E0,-4.799020386E-1
1.962984792E0,7.874225464E0,-3.500620422E0,-4.290078735E-1
1.973046792E0,7.744145966E0,-4.171525269E0,-9.894424438E-2
1.983107792E0,7.876770172E0,-4.541256409E0,2.833607483E-1
1.993169792E0,8.042774963E0,-4.479584656E0,5.405259705E-1
2.003230792E0,8.218509521E0,-4.311933289E0,6.635700989E-1
2.013291792E0,8.679401093E0,-4.157304840E0,7.212002563E-1
2.023353792E0,8.832832031E0,-4.102219391E0,6.833290100E-1
2.033414792E0,8.527167664E0,-4.378095703E0,4.878355408E-1
2.043475792E0,8.414302368E0,-4.952002258E0,2.881507874E-1
2.053537792E0,8.730145569E0,-5.599555664E0,2.149530029E-1
2.063598792E0,9.398505707E0,-5.867648163E0,3.222798157E-1
2.073660792E0,1.046967819E1,-5.513784027E0,5.063969421E-1
2.083721792E0,1.166883453E1,-4.794230347E0,8.795709229E-1
2.093782792E0,1.263657211E1,-4.268822937E0,1.346150665E0
2.103844792E0,1.343486206E1,-3.980223083E0,1.622925110E0
2.113905792E0,1.414184189E1,-3.746109924E0,1.846260681E0
2.123966792E0,1.463386871E1,-3.827390900E0,2.199675751E0
2.134028792E0,1.503503448E1,-4.022884369E0,2.576442261E0
2.144089792E0,1.547676590E1,-4.132606201E0,3.078647919E0
2.154151792E0,1.586386093E1,-4.254452820E0,3.472478943E0
2.164212792E0,1.621533005E1,-4.466861115E0,3.634591827E0
2.174273792E0,1.619033203E1,-4.668042755E0,3.584146729E0
2.184335792E0,1.589439743E1,-4.514162750E0,3.578608246E0
2.194396792E0,1.522528885E1,-3.937112732E0,3.817661133E0
2.204458792E0,1.419602921E1,-3.050955505E0,3.830684052E0
2.214519792E0,1.307231598E1,-2.179018707E0,3.623514862E0
2.224580792E0,1.198348022E1,-1.603914642E0,3.426674194E0
2.234642792E0,1.080797470E1,-1.583706665E0,2.980751495E0
2.244703792E0,9.831704865E0,-2.000290375E0,2.666554871E0
2.254764792E0,9.084309082E0,-2.609822845E0,2.602188721E0
2.264826792E0,8.679999847E0,-3.038231964E0,2.677033081E0
2.274887792E0,8.824599152E0,-3.320095825E0,2.543810120E0
2.284949792E0,9.301657104E0,-3.648063812E0,2.415227509E0
2.295010792E0,9.670190735E0,-3.958967285E0,2.130519562E0
2.305071792E0,9.741442566E0,-4.286486206E0,1.594035187E0
2.315133792E0,9.503736877E0,-4.645290070E0,9.925859070E-1
2.325194792E0,9.078920288E0,-4.878804474E0,7.152127075E-1
2.335256792E0,8.658294983E0,-4.940176849E0,7.430548096E-1
2.345317792E0,8.302185516E0,-4.807852020E0,8.982820129E-1
2.355378792E0,8.066575470E0,-4.557722168E0,1.229094086E0
2.365440792E0,7.974965973E0,-4.288731537E0,1.519190826E0
2.375501792E0,8.033643951E0,-4.025728455E0,1.526375885E0
2.385562792E0,8.184380493E0,-3.900588684E0,1.642833710E0
2.395624792E0,8.047265625E0,-3.786675568E0,1.794169006E0
2.405685792E0,7.642058258E0,-3.587888947E0,1.391955414E0
2.415747792E0,7.195686493E0,-3.559448090E0,1.171763306E0
2.425808792E0,6.731352081E0,-3.610641632E0,1.115480347E0
2.435869792E0,6.368207245E0,-3.528612213E0,9.407936096E-1
2.445931792E0,6.459966431E0,-3.285068665E0,8.488847351E-1
2.455992792E0,6.747069397E0,-3.000061340E0,9.807604980E-1
2.466054792E0,7.179071045E0,-2.740201721E0,1.168769531E0
2.476115792E0,7.717651062E0,-2.384840698E0,1.390907593E0
2.486176792E0,7.788902893E0,-2.234553223E0,1.548080750E0
2.496238792E0,7.391179962E0,-2.350861359E0,1.317260742E0
2.506299792E0,6.980134735E0,-2.753524017E0,9.536668396E-1
2.516360792E0,6.714586945E0,-3.353027344E0,8.747808838E-1
2.526422792E0,6.537804565E0,-3.950435028E0,8.884025574E-1
2.536483792E0,6.447242889E0,-4.179907837E0,9.684860229E-1
2.546545792E0,6.651268616E0,-4.315076752E0,1.118324432E0
2.556606792E0,7.049590302E0,-4.752167816E0,1.468745728E0
2.566667792E0,7.336393890E0,-5.267546082E0,2.059417419E0
2.576729792E0,7.566166077E0,-5.511987762E0,2.433339844E0
2.586790792E0,7.886499939E0,-5.594166870E0,2.713557129E0
2.596852792E0,8.229586487E0,-5.624104614E0,2.859353943E0
2.606913625E0,8.722062378E0,-5.824088745E0,2.744991760E0
2.616974625E0,9.346563721E0,-6.235882416E0,2.537074127E0
2.627036625E0,9.850565643E0,-6.543492737E0,2.413880310E0
2.637097625E0,1.011820908E1,-6.835984497E0,2.122735748E0
2.647159625E0,1.019260437E1,-7.247478790E0,1.779499512E0
2.657220625E0,1.020413040E1,-7.826175385E0,1.759740601E0
2.667281625E0,1.000294876E1,-8.128396912E0,2.180515594E0
2.677343625E0,9.680519257E0,-7.923772430E0,2.558778992E0
2.687404625E0,9.405391388E0,-7.583679657E0,2.456242218E0
2.697465625E0,9.438921661E0,-7.516319733E0,2.117047577E0
2.707527625E0,9.689500580E0,-7.398065643E0,1.532064056E0
2.717588625E0,9.320966949E0,-6.845115509E0,9.292675781E-1
2.727650625E0,8.578211517E0,-6.151907043E0,4.065545654E-1
2.737711625E0,7.916737061E0,-5.633684692E0,7.289840698E-2
2.747772625E0,7.314389648E0,-5.151687012E0,8.981323242E-4
2.757834625E0,7.105723572E0,-4.621938629E0,7.080276489E-2
2.767895625E0,7.401658173E0,-4.173022156E0,3.613485718E-1
2.777957625E0,7.875273285E0,-4.102518768E0,8.165519714E-1
2.788018625E0,8.310717773E0,-4.382885742E0,1.297352142E0
2.798079625E0,8.683742065E0,-4.636757812E0,1.770518188E0
2.808141625E0,8.851543121E0,-4.865182800E0,2.092947693E0
2.818202625E0,8.951535187E0,-5.283862152E0,2.224374390E0
2.828263625E0,9.150920563E0,-5.576054535E0,2.287842407E0
2.838325625E0,9.165290680E0,-5.535638580E0,2.186203766E0
2.848386625E0,9.134305115E0,-5.099894714E0,1.743723907E0
2.858448625E0,9.220825195E0,-4.384232941E0,9.069639587E-1
2.868509625E0,9.302255859E0,-3.747457123E0,8.652008057E-2
2.878570625E0,9.248517609E0,-3.270698547E0,-3.641926575E-1
2.888632625E0,9.053173828E0,-2.901566162E0,-5.601351929E-1
2.898693625E0,8.787176971E0,-2.681673431E0,-6.960525513E-1
2.908755625E0,8.550818481E0,-2.617307281E0,-6.697073364E-1
2.918816625E0,8.330326996E0,-2.634671173E0,-3.884422302E-1
2.928877625E0,8.073910217E0,-2.633024597E0,-8.247848511E-2
2.938939625E0,7.792944489E0,-2.581232300E0,1.350192261E-1
2.949000625E0,7.522157593E0,-2.517165527E0,3.294648743E-1
2.959062625E0,7.236102448E0,-2.454895020E0,4.959187317E-1
2.969123625E0,7.015161896E0,-2.450703735E0,6.083349609E-1
2.979184625E0,6.883136444E0,-2.476001129E0,7.545808411E-1
2.989246625E0,6.857839050E0,-2.503094788E0,9.035211182E-1
