"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.885684375E0,-1.008480668E0,7.125492692E-1,-7.375918627E-1
2.895745375E0,-9.343675971E-1,6.215711236E-1,-7.410515547E-1
2.905805375E0,-8.321481347E-1,6.224058270E-1,-7.550669312E-1
2.915866375E0,-7.007994652E-1,6.615716219E-1,-7.329667211E-1
2.925927375E0,-5.619300008E-1,6.922215819E-1,-6.846429110E-1
2.935987375E0,-4.448164105E-1,7.084444761E-1,-6.005240679E-1
2.946048375E0,-3.782510161E-1,6.993512511E-1,-4.986880124E-1
2.956109375E0,-3.539331555E-1,6.484654546E-1,-4.099456072E-1
2.966169375E0,-3.893733919E-1,5.749516487E-1,-3.626703024E-1
2.976230375E0,-4.863364100E-1,4.884361625E-1,-3.320215642E-1
2.986291375E0,-5.987291336E-1,4.161835611E-1,-2.856132090E-1
2.996352375E0,-6.957829595E-1,3.651475608E-1,-2.398691624E-1
3.006412375E0,-7.428366542E-1,3.469343483E-1,-2.212961167E-1
3.016473375E0,-7.324878573E-1,3.503434658E-1,-2.263111174E-1
3.026534375E0,-6.777424216E-1,3.431124687E-1,-2.226866484E-1
3.036594375E0,-6.022157073E-1,3.291529715E-1,-1.640936434E-1
3.046655375E0,-5.142652988E-1,2.932087481E-1,-6.072211266E-2
3.056716375E0,-4.162311554E-1,2.031408995E-1,6.911870837E-2
3.066776375E0,-3.275192082E-1,4.415719211E-2,1.983525157E-1
3.076837375E0,-2.801626027E-1,-1.570219845E-1,3.117238283E-1
3.086898375E0,-2.669698298E-1,-3.018934131E-1,3.662723005E-1
3.096958375E0,-2.657104135E-1,-2.997514606E-1,3.521785736E-1
3.107019375E0,-2.398302853E-1,-1.796979904E-1,3.117144406E-1
3.117080375E0,-1.874504238E-1,-1.209354773E-2,2.625490129E-1
3.127141375E0,-1.360508949E-1,1.430357546E-1,2.108891606E-1
3.137201375E0,-1.025166288E-1,2.720608413E-1,1.699214876E-1
3.147262375E0,-8.858646452E-2,4.242191911E-1,1.117385030E-1
3.157323375E0,-1.025262475E-1,6.058542132E-1,5.668057501E-2
3.167383375E0,-1.404653639E-1,7.458285689E-1,3.077173047E-2
3.177444375E0,-1.890523434E-1,7.949388623E-1,1.055194624E-2
3.187505375E0,-2.499878556E-1,6.993307471E-1,-2.236458287E-2
3.197565375E0,-2.990880311E-1,4.563005269E-1,-2.968082018E-2
3.207626375E0,-3.005951345E-1,1.351386011E-1,8.055675775E-3
3.217687375E0,-2.315977067E-1,-1.262975335E-1,6.474398822E-2
3.227747375E0,-6.665381789E-2,-3.186125755E-1,1.157730147E-1
3.237808375E0,2.121264040E-1,-4.906743467E-1,1.253968775E-1
3.247869375E0,5.948473215E-1,-6.346420050E-1,8.167292178E-2
3.257930375E0,1.016921878E0,-7.444899082E-1,5.019157194E-3
3.267990375E0,1.401468992E0,-8.076711297E-1,-5.686940253E-2
3.278051375E0,1.699596882E0,-8.136703968E-1,-8.802546561E-2
3.288112375E0,1.881403804E0,-7.973211408E-1,-1.004904881E-1
3.298172375E0,1.926631212E0,-8.160333037E-1,-9.840603173E-2
3.308233375E0,1.850762606E0,-8.704785705E-1,-9.975513816E-2
3.318294375E0,1.751035571E0,-9.015898705E-1,-7.620054483E-2
3.328354375E0,1.690476894E0,-8.691763878E-1,-5.441547930E-2
3.338415375E0,1.627701640E0,-8.011656404E-1,-5.184393004E-2
3.348476375E0,1.539100289E0,-6.716555953E-1,-9.806690365E-2
3.358536375E0,1.433085442E0,-4.866910279E-1,-1.891214401E-1
3.368597375E0,1.330747366E0,-2.747535408E-1,-2.847563922E-1
3.378658375E0,1.207167268E0,-8.718071878E-2,-3.702225387E-1
3.388719375E0,1.061011434E0,7.299826294E-2,-4.475704432E-1
3.398779375E0,9.011413455E-1,2.097758204E-1,-4.995159209E-1
3.408840375E0,7.552400231E-1,3.354588151E-1,-5.140096545E-1
3.418901375E0,6.342257261E-1,4.433948696E-1,-5.009332895E-1
3.428961375E0,5.220211744E-1,5.163951516E-1,-4.593728781E-1
3.439022375E0,3.847578764E-1,5.282837152E-1,-3.848358095E-1
3.449083375E0,1.905516535E-1,4.965518713E-1,-2.770576775E-1
3.459143375E0,-1.026051342E-1,4.409269691E-1,-1.756263673E-1
3.469204375E0,-4.819509089E-1,3.468385041E-1,-1.009132043E-1
3.479265375E0,-8.949845433E-1,2.275483012E-1,-7.552182674E-2
3.489325375E0,-1.260221004E0,1.172822937E-1,-1.096938029E-1
3.499386375E0,-1.547053933E0,3.031383455E-2,-1.660756022E-1
3.509447375E0,-1.760669112E0,-4.279457033E-2,-2.033026814E-1
3.519508375E0,-1.900410175E0,-8.102478087E-2,-2.310443074E-1
3.529568375E0,-1.978635430E0,-5.906695500E-2,-2.551477849E-1
3.539629375E0,-1.997737408E0,1.025592629E-2,-2.799356878E-1
3.549690375E0,-1.950320601E0,9.934956580E-2,-2.920436561E-1
3.559750375E0,-1.885602355E0,1.923295707E-1,-2.876835465E-1
3.569811375E0,-1.877877355E0,2.795645595E-1,-2.628964484E-1
3.579872375E0,-1.973405242E0,3.825444579E-1,-2.214712352E-1
3.589932375E0,-2.156801939E0,5.260314941E-1,-1.811543107E-1
3.599993375E0,-2.357478380E0,6.811526418E-1,-1.421634853E-1
3.610054375E0,-2.529199123E0,8.255391717E-1,-1.214731857E-1
3.620115375E0,-2.660425186E0,9.481519461E-1,-1.165226325E-1
3.630175375E0,-2.764801025E0,1.045082450E0,-1.086602882E-1
3.640236375E0,-2.829132795E0,1.141139984E0,-9.975041449E-2
3.650297375E0,-2.812726736E0,1.240723372E0,-9.855017811E-2
3.660357375E0,-2.708061218E0,1.336977482E0,-1.157267690E-1
3.670418375E0,-2.550465107E0,1.413159132E0,-1.429174542E-1
3.680479375E0,-2.361769915E0,1.441583633E0,-1.422615200E-1
3.690539375E0,-2.160216570E0,1.412698269E0,-1.016776562E-1
3.700600375E0,-1.912099600E0,1.352109432E0,-5.247495696E-2
3.710661375E0,-1.603349447E0,1.283729076E0,9.996036068E-3
3.720721375E0,-1.264624953E0,1.170966625E0,1.038844511E-1
3.730782375E0,-9.616619945E-1,9.978806376E-1,2.146522105E-1
3.740842875E0,-7.325441241E-1,7.979398370E-1,2.751712203E-1
3.750903875E0,-5.302511454E-1,5.955998302E-1,2.976803184E-1
3.760963875E0,-3.288245201E-1,4.303999245E-1,3.065132201E-1
3.771024875E0,-1.610682160E-1,2.987892926E-1,2.909396291E-1
3.781085875E0,-5.477639288E-2,1.929006726E-1,2.309215814E-1
3.791145875E0,4.548730329E-3,1.157757416E-1,1.028861031E-1
3.801206875E0,3.876475617E-2,9.443476796E-2,-6.564219296E-2
3.811267875E0,7.258125115E-3,1.474297941E-1,-2.295589745E-1
3.821327875E0,-1.209067702E-1,2.902761698E-1,-3.502185643E-1
3.831388875E0,-3.304160237E-1,5.004819036E-1,-4.188677967E-1
3.841449875E0,-5.699034333E-1,7.425994873E-1,-4.456946254E-1
